央视,#genre#
CCTV2,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv2/1.m3u8?$广西易视腾
CCTV3,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv3/1.m3u8?$广西易视腾
CCTV4,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv4/1.m3u8?$广西易视腾
CCTV5,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv5/1.m3u8?$广西易视腾
CCTV6,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv6/1.m3u8?$广西易视腾
CCTV7,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv7/1.m3u8?$广西易视腾
CCTV8,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv8/1.m3u8?$广西易视腾
CCTV9,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv9/1.m3u8?$广西易视腾
CCTV10,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv10/1.m3u8?$广西易视腾
CCTV11,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv11/1.m3u8?$广西易视腾
CCTV12,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv12/1.m3u8?$广西易视腾
CCTV13,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv13/1.m3u8?$广西易视腾
CCTV14,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv14/1.m3u8?$广西易视腾
CCTV15,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv15/1.m3u8?$广西易视腾
CCTV16,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv16/1.m3u8?$广西易视腾
CCTV17,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv17/1.m3u8?$广西易视腾
CCTV5+,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-cctv05plus/1.m3u8?$广西易视腾

CCTV1,http://111.12.101.25:6610/000000001000/1000000001000021973/1.m3u8?$百色易视腾
CCTV2,http://111.12.101.25:6610/000000001000/1000000001000012442/1.m3u8?$百色易视腾
CCTV3,http://111.12.101.25:6610/000000001000/1000000001000011218/1.m3u8?$百色易视腾
CCTV4,http://111.12.101.25:6610/000000001000/1000000002000031664/1.m3u8?$百色易视腾
CCTV5,http://111.12.101.25:6610/000000001000/1000000001000004794/1.m3u8?$百色易视腾
CCTV5+,http://111.12.101.25:6610/000000001000/1000000001000020505/1.m3u8?$百色易视腾
CCTV6,http://111.12.101.25:6610/000000001000/1000000001000016466/1.m3u8?$百色易视腾
CCTV7,http://111.12.101.25:6610/000000001000/7050628689018054317/1.m3u8?$百色易视腾
CCTV8,http://111.12.101.25:6610/000000001000/1000000001000003736/1.m3u8?$百色易视腾
CCTV9,http://111.12.101.25:6610/000000001000/1000000001000014583/1.m3u8?$百色易视腾
CCTV10,http://111.12.101.25:6610/000000001000/7019587760656900133/1.m3u8?$百色易视腾
CCTV11,http://111.12.101.25:6610/000000001000/1000000002000019789/1.m3u8?$百色易视腾
CCTV12,http://111.12.101.25:6610/000000001000/5325631075193490169/1.m3u8?$百色易视腾
CCTV13,http://111.12.101.25:6610/000000001000/1000000002000021303/1.m3u8?$百色易视腾
CCTV14,http://111.12.101.25:6610/000000001000/8203666801302077036/1.m3u8?$百色易视腾
CCTV15,http://111.12.101.25:6610/000000001000/1000000002000008163/1.m3u8?$百色易视腾
1905电影频道,http://120.226.188.135/hlslive2.ks-cdn.m1905.com/live/LIVE8J4LTCXPI7QJ5/index.m3u8#http://111.177.34.81/hlslive2.ks-cdn.m1905.com/live/LIVE8J4LTCXPI7QJ5/index.m3u8
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8

CCTV1,http://39.134.19.246:6610/yinhe/2/ch00000090990000001274/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV2,http://39.134.19.246:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV3,http://39.134.19.246:6610/yinhe/2/ch00000090990000001598/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV4,http://39.134.19.246:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV5,http://39.134.19.246:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV5+,http://39.134.19.246:6610/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV6,http://39.134.19.246:6610/yinhe/2/ch00000090990000001275/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV7,http://39.134.19.246:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV8,http://39.134.19.246:6610/yinhe/2/ch00000090990000001276/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV9,http://39.134.19.246:6610/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV10,http://39.134.19.246:6610/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV11,http://39.134.19.246:6610/yinhe/2/ch00000090990000001327/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV12,http://39.134.19.246:6610/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV13,http://39.134.19.246:6610/yinhe/2/ch00000090990000001328/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV14,http://39.134.19.246:6610/yinhe/2/ch00000090990000001292/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV15,http://39.134.19.246:6610/yinhe/2/ch00000090990000001020/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV16,http://39.134.19.246:6610/yinhe/2/ch00000090990000002395/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
CCTV17,http://39.134.19.246:6610/yinhe/2/ch00000090990000001295/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
女性时尚,http://39.134.19.246:6610/yinhe/2/ch00000090990000002475/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
世界地理,http://39.134.19.246:6610/yinhe/2/ch00000090990000002485/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
央视台球,http://39.134.19.246:6610/yinhe/2/ch00000090990000002496/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
怀旧剧场,http://39.134.19.246:6610/yinhe/2/ch00000090990000002495/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
高尔夫网球,http://39.134.19.246:6610/yinhe/2/ch00000090990000002497/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
第一剧场,http://39.134.19.246:6610/yinhe/2/ch00000090990000002498/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
风云足球,http://39.134.19.246:6610/yinhe/2/ch00000090990000002499/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
风云剧场,http://39.134.19.246:6610/yinhe/2/ch00000090990000002505/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
兵器科技,http://39.134.19.246:6610/yinhe/2/ch00000090990000002515/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
风云音乐,http://39.134.19.246:6610/yinhe/2/ch00000090990000002525/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
央视文化精品,http://39.134.19.246:6610/yinhe/2/ch00000090990000002535/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
电视指南,http://39.134.19.246:6610/yinhe/2/ch00000090990000002545/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
发现之旅,http://39.134.19.246:6610/yinhe/2/ch00000090990000001314/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河
老故事,http://39.134.19.246:6610/yinhe/2/ch00000090990000001315/index.m3u8?virtualDomain=yinhe.live_hls.zte.com$陕西银河

卫视,#genre#
广西卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225986/index.m3u8?$广西cdn
广西卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225767/index.m3u8?$广西cdn
广西卫视,http://39.135.138.59:18890/PLTV/88888910/224/3221225731/index.m3u8
湖南卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225919/index.m3u8?$广西cdn
浙江卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225928/index.m3u8?$广西cdn
天津卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226022/index.m3u8?$广西cdn
东方卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225942/index.m3u8?$广西cdn
江苏卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226025/index.m3u8?$广西cdn
北京卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225889/index.m3u8?$广西cdn
广东卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225913/index.m3u8?$广西cdn
山东卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226010/index.m3u8?$广西cdn
湖北卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225954/index.m3u8?$广西cdn
安徽卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225886/index.m3u8?$广西cdn
东南卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225904/index.m3u8?$广西cdn
江西卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225957/index.m3u8?$广西cdn
四川卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225757/index.m3u8?$广西cdn
贵州卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225770/index.m3u8?$广西cdn
重庆卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225898/index.m3u8?$广西cdn
旅游卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225752/index.m3u8?$广西cdn
河北卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225773/index.m3u8?$广西cdn
河南卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225806/index.m3u8?$广西cdn
辽宁卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226007/index.m3u8?$广西cdn
黑龙江卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221226019/index.m3u8?$广西cdn
甘肃卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225764/index.m3u8?$广西cdn
青海卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225705/index.m3u8?$广西cdn
山西卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225785/index.m3u8?$广西cdn
云南卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225794/index.m3u8?$广西cdn
陕西卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225754/index.m3u8?$广西cdn
吉林卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225678/index.m3u8?$广西cdn
宁夏卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225782/index.m3u8?$广西cdn
内蒙古卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225751/index.m3u8?$广西cdn
新疆卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225788/index.m3u8?$广西cdn
西藏卫视,http://39.135.42.202:80/wh7f454c46tw4286071075_1310883977/cdnrrs.gx.chinamobile.com/PLTV/77777777/224/3221225800/index.m3u8?$广西cdn

北京卫视,http://111.40.196.36/PLTV/88888888/224/3221225529/index.m3u8$哈尔滨移动
东方卫视,http://111.40.196.36/PLTV/88888888/224/3221225512/index.m3u8$哈尔滨移动
天津卫视,http://111.40.196.38/PLTV/88888888/224/3221225556/index.m3u8$哈尔滨移动
重庆卫视,http://111.40.196.31/PLTV/88888888/224/3221225514/index.m3u8$哈尔滨移动
黑龙江卫视,http://111.40.196.34/PLTV/88888888/224/3221225539/index.m3u8$哈尔滨移动
吉林卫视,http://111.40.196.25/PLTV/88888888/224/3221225642/index.m3u8$哈尔滨移动
辽宁卫视,http://111.40.196.34/PLTV/88888888/224/3221225593/index.m3u8$哈尔滨移动
内蒙古卫视,http://111.40.196.34/PLTV/88888888/224/3221225629/index.m3u8$哈尔滨移动
宁夏卫视,http://111.40.196.29/PLTV/88888888/224/3221225641/index.m3u8$哈尔滨移动
甘肃卫视,http://111.40.196.28/PLTV/88888888/224/3221225639/index.m3u8$哈尔滨移动
青海卫视,http://111.40.196.28/PLTV/88888888/224/3221225625/index.m3u8$哈尔滨移动
安多卫视,http://111.40.196.28/PLTV/88888888/224/3221225666/index.m3u8$哈尔滨移动
陕西卫视,http://111.40.196.29/PLTV/88888888/224/3221225631/index.m3u8$哈尔滨移动
河北卫视,http://111.40.196.32/PLTV/88888888/224/3221225627/index.m3u8$哈尔滨移动
山西卫视,http://111.40.196.34/PLTV/88888888/224/3221225520/index.m3u8$哈尔滨移动
山东卫视,http://111.40.196.28/PLTV/88888888/224/3221225546/index.m3u8$哈尔滨移动
安徽卫视,http://111.40.196.29/PLTV/88888888/224/3221225570/index.m3u8$哈尔滨移动
河南卫视,http://111.40.196.30/PLTV/88888888/224/3221225587/index.m3u8$哈尔滨移动
湖北卫视,http://111.40.196.31/PLTV/88888888/224/3221225547/index.m3u8$哈尔滨移动
湖南卫视,http://111.40.196.30/PLTV/88888888/224/3221225554/index.m3u8$哈尔滨移动
江西卫视,http://111.40.196.30/PLTV/88888888/224/3221225560/index.m3u8$哈尔滨移动
江苏卫视,http://111.40.196.31/PLTV/88888888/224/3221225515/index.m3u8$哈尔滨移动
浙江卫视,http://111.40.196.37/PLTV/88888888/224/3221225523/index.m3u8$哈尔滨移动
东南卫视,http://111.40.196.37/PLTV/88888888/224/3221225516/index.m3u8$哈尔滨移动
厦门卫视,http://111.40.196.32/PLTV/88888888/224/3221225643/index.m3u8$哈尔滨移动
广东卫视,http://111.40.196.32/PLTV/88888888/224/3221225600/index.m3u8$哈尔滨移动
深圳卫视,http://111.40.196.36/PLTV/88888888/224/3221225602/index.m3u8$哈尔滨移动
广西卫视,http://111.40.196.32/PLTV/88888888/224/3221225518/index.m3u8$哈尔滨移动
云南卫视,http://111.40.196.36/PLTV/88888888/224/3221225635/index.m3u8$哈尔滨移动
贵州卫视,http://111.40.196.29/PLTV/88888888/224/3221225522/index.m3u8$哈尔滨移动
四川卫视,http://111.40.196.35/PLTV/88888888/224/3221225595/index.m3u8$哈尔滨移动
新疆卫视,http://111.40.196.28/PLTV/88888888/224/3221225598/index.m3u8$哈尔滨移动
兵团卫视,http://111.40.196.31/PLTV/88888888/224/3221225637/index.m3u8$哈尔滨移动
西藏卫视,http://111.40.196.31/PLTV/88888888/224/3221225651/index.m3u8$哈尔滨移动
旅游卫视,http://111.40.196.25/PLTV/88888888/224/3221225623/index.m3u8$哈尔滨移动

北京卫视,http://39.135.32.22:6610/000000001000/1000000001000017156/index.m3u8?$南宁易视腾
东方卫视,http://39.135.32.22:6610/000000001000/1000000001000005866/index.m3u8?$南宁易视腾
江苏卫视,http://39.135.32.22:6610/000000001000/1000000001000001828/index.m3u8?$南宁易视腾
浙江卫视,http://39.135.32.22:6610/000000001000/1000000001000009806/index.m3u8?$南宁易视腾
天津卫视,http://39.135.32.22:6610/000000001000/1000000001000003475/index.m3u8?$南宁易视腾
安徽卫视,http://39.135.32.22:6610/000000001000/1000000001000030159/index.m3u8?$南宁易视腾
湖北卫视,http://39.135.32.22:6610/000000001000/1000000001000024621/index.m3u8?$南宁易视腾
湖南卫视,http://39.135.32.22:6610/000000001000/1000000001000009115/index.m3u8?$南宁易视腾
江西卫视,http://39.135.32.22:6610/000000001000/1000000001000013731/index.m3u8?$南宁易视腾
广东卫视,http://39.135.32.22:6610/000000001000/1000000001000028357/index.m3u8?$南宁易视腾
黑龙江卫视,http://39.135.32.22:6610/000000001000/1000000001000001925/index.m3u8?$南宁易视腾
东南卫视,http://39.135.32.22:6610/000000001000/1000000002000009263/index.m3u8?$南宁易视腾
山东卫视,http://39.135.32.22:6610/000000001000/1000000001000012807/index.m3u8?$南宁易视腾
辽宁卫视,http://39.135.32.22:6610/000000001000/1000000002000024033/index.m3u8?$南宁易视腾
甘肃卫视,http://39.135.32.22:6610/000000001000/1000000002000017827/index.m3u8?$南宁易视腾
广西卫视,http://39.135.32.22:6610/000000001000/1000000002000019837/index.m3u8?$南宁易视腾
贵州卫视,http://39.135.32.22:6610/000000001000/1000000002000003169/index.m3u8?$南宁易视腾
旅游卫视,http://39.135.32.22:6610/000000001000/7899627377857656087/index.m3u8?$南宁易视腾
河南卫视,http://39.135.32.22:6610/000000001000/7304224304099543804/index.m3u8?$南宁易视腾
吉林卫视,http://39.135.32.22:6610/000000001000/6042486520432105075/index.m3u8?$南宁易视腾
内蒙古卫视,http://39.135.32.22:6610/000000001000/5559214655508729688/index.m3u8?$南宁易视腾
宁夏卫视,http://39.135.32.22:6610/000000001000/7527747602951312973/index.m3u8?$南宁易视腾
青海卫视,http://39.135.32.22:6610/000000001000/1000000002000013359/index.m3u8?$南宁易视腾
山西卫视,http://39.135.32.22:6610/000000001000/1000000002000021220/index.m3u8?$南宁易视腾
陕西卫视,http://39.135.32.22:6610/000000001000/1000000002000007495/index.m3u8?$南宁易视腾
四川卫视,http://39.135.32.22:6610/000000001000/1000000002000016825/index.m3u8?$南宁易视腾
西藏卫视,http://39.135.32.22:6610/000000001000/6603041244077933770/index.m3u8?$南宁易视腾
新疆卫视,http://39.135.32.22:6610/000000001000/5802765535081445534/index.m3u8?$南宁易视腾
云南卫视,http://39.135.32.22:6610/000000001000/1000000002000024694/index.m3u8?$南宁易视腾
深圳卫视,http://39.135.32.22:6610/000000001000/1000000001000009227/index.m3u8?$南宁易视腾
重庆卫视,http://39.135.32.22:6610/000000001000/1000000002000018937/index.m3u8?$南宁易视腾

安徽卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-anhuistv/1.m3u8?$广西易视腾
北京卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-beijingstv/1.m3u8?$广西易视腾
重庆卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-chongqingstv/1.m3u8?$广西易视腾
广东卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-guangdongstv/1.m3u8?$广西易视腾
湖南卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-hunanstv/1.m3u8?$广西易视腾
浙江卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-zhejiangstv/1.m3u8?$广西易视腾
江苏卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-jiangsustv/1.m3u8?$广西易视腾
东方卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-dongfangstv/1.m3u8?$广西易视腾
深圳卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-shenzhenstv/1.m3u8?$广西易视腾
湖北卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-hubeistv/1.m3u8?$广西易视腾
天津卫视,http://39.135.47.100:6610/000000001000/HD-8000k-1080P-tianjinstv/1.m3u8?$广西易视腾
